Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,0.00472256824217368,0.00456139517022146,0.0878912528559713,0.105809030021958,1.22414808372471,2.10712364546412,1.899999976,1.84,3.55,4,5,5.454500198,5.900000095,7,8.260000229,11,13.5,16.79999924,17.60000038,17.04850006,16.51429939,15.86629963,15.92840004,16.09499931,..
Afghanistan,AFG,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,..,..
Afghanistan,AFG,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,0.769559979438782,0.928269982337952,0.959540009498596,1.10443997383118,1.03191995620727,1.12305998802185,1.26918995380402,1.40902996063232,1.80000996589661,1.91846001148224,..,..,2.01694989204407,..,..,..,2.19022011756897,1.71459996700287,..,..,2.21519994735718,..,..,..,..,..,..,..,..,..,..,..,..,1.37434995174408,1.39064002037048,..,..,..,..,3.93815994262695,..,3.68686008453369,..,..,8.39764022827148,..,..,..,9.99592018127441,..,10.85435962677,..,..,..,..,..
Afghanistan,AFG,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,..,..,..,..,..,..,..,..,..,0.225950002670288,..,0.257420003414154,0.345169991254807,0.285959988832474,0.312909990549088,0.353989988565445,0.582849979400635,0.67918998003006,0.591929972171783,..,..,..,..,..,..,0.607609987258911,..,..,..,1.35643994808197,..,..,..,..,..,..,..,..,..,..,..,..,0.571370005607605,0.578159987926483,..,..,..,..,1.4480299949646,..,1.8252899646759,..,..,3.49629998207092,..,..,..,5.02065992355347,..,5.93654012680054,..,..,..,..,..
Afghanistan,AFG,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..,..,..,..,..,..,..,..,..,..,1.31308996677399,..,1.65443003177643,1.8461400270462,1.75556004047394,1.90855002403259,2.15600991249085,2.20908999443054,2.88474988937378,3.2042601108551,..,..,..,..,..,..,3.80376005172729,..,..,..,3.07834005355835,..,..,..,..,..,..,..,..,..,..,..,..,2.14711999893189,2.17249989509583,..,..,..,..,6.33436012268066,..,5.47669982910156,..,..,13.104100227356,..,..,..,14.7765998840332,..,15.5847797393799,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.4794499874115,3.4620099067688,2.60420989990234,3.45445990562439,3.69521999359131,3.25578999519348,4.5439600944519,4.34319019317627,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.1599998474121,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.4500007629394,..,..,..,33.75,..,..,..,..,36.0149650316607,37.2700004577637,..,..,..,..
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.12255149340207,8.38959494931345,8.66266423654956,8.94270943787613,9.23113447844093,9.52934328339171,9.83873977787624,10.1607278870423,10.4967115360376,10.84809465001,11.2297657038792,11.6660355418459,12.1619847549558,12.6916916731915,13.2347712388712,13.7708383943132,14.2795080818354,14.7403952437562,15.1331148223937,15.4376007470002,15.6809994542625,15.9037575307894,16.1073778271006,16.2936657965111,16.4644268923362,16.6214665678908,16.7665902764903,16.9016034714497,17.0283116060842,17.1485201337089,17.264034507639,17.3766601811896,17.4882026076758,17.6004672404128,17.7152595327158,17.8343849378999,17.9596489092802,18.0928569001719,18.2358143638901,18.3903267537499,18.5581995230666,18.7412381251552,18.9412480133309,19.1600346409089,19.3993593959593,19.7059095753667,20.1104530189181,20.5906579215423,21.1241481349633,21.6885475109053,22.2614799010924,22.8205691572485,23.3434391310979,23.8077136743646,24.1910166387726,24.4649118421568,24.6588345720126,24.8352821238871,24.9991645191406,25.1437258839803,25.2622103446137,25.3478620272481,25.3939250580909,25.4730529631167,25.7007352636188,..
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0.0112,0.0322,0.0486,0.065,0.0814,0.114097346552109,0.325798377067964,0.39008127343332,0.971900415195857,2.42038779776014,6.04389086404814,9.609999657,15.03610039,23.86,41.2,45,47,49.40000153,51.79999924,54.29999924,56.90000153,59.59999847,62.40000153,65.40000153,68.5503911218006,72.23767711,79.32371752,82.61367544,83.13559161,85.86389923,..
Albania,ALB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5560.85699566409,4027.90551078531,3761.15540576541,4145.91969834494,4517.79881384115,5151.39732484423,5563.79315082011,4943.00399871118,5387.56822958918,6086.00863561374,6582.01638790869,7232.99054955267,7590.49000137636,8025.28131314895,8483.29399553028,8964.31799702863,9564.02920336839,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12463.5700560026,12873.4832044649,13366.5595256489,13876.81917653,14643.4892877063,15359.4611530571,16170.990493278,16761.1925261726,16457.7872245882,18212.8702466686,19388.8731331744,20481.0358398226,21641.0733223921,..
Albania,ALB,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,12.8983097076416,13.9605598449707,..,..,..,..,..,5.39772987365723,..,..,4.82242012023926,..,5.62990999221802,6.34281015396118,6.89037990570068,7.06284999847412,7.123459815979,7.46460008621216,7.76358985900879,8.0117301940918,8.63831043243408,9.12522029876709,11.0173997879028,10.4434404373169,10.0794801712036,11.0262098312378,12.8083696365356,13.6314601898193,14.7700595855713,15.3867101669312,15.4820499420166,16.3895606994629,16.3662395477295,19.1295795440674,22.389009475708,26.2101001739502,30.2319297790527,31.6839599609375,32.9239883422852,43.3279304504395,49.3997040639925,58.6214186004979,63.8440585382953,65.5507096860696,61.9608485481051,58.4884791901189,58.0177836674929,56.0802964109938,61.4085141527142,61.5853024328899,59.9698690125562,62.647921513098,64.7293520237257,84.1496200561523,..
