extended_model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
baseline_mean,0.9946286535465042,0.1072538919611213,0.7693564532366665,0.08906576049228655,-0.14256195746140615,0.1780321264858308,,
distances_only,1.1429458623889404,0.2209049182488533,0.9099637599004963,0.20642048324580914,-0.4995125010183494,0.3636283134551489,-0.08657525170266978,0.282401770619959
confounders_only,1.065423575490901,0.13284409991184676,0.8328563320394448,0.12195300816942144,-0.31684989057115326,0.2780704592763468,-0.08485595917303607,0.16865056852868143
confounders_plus_distances,1.1262488225452016,0.1823117328291162,0.8891222692912157,0.1600591190261956,-0.45392021949187855,0.26020482271254164,-0.054073714153467754,0.18127050231638045
