extended_model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
baseline_mean,0.9946286535465042,0.1072538919611213,0.7693564532366665,0.08906576049228655,-0.14256195746140615,0.1780321264858308,,
distances_only,1.142945864791268,0.2209049157873726,0.9099637617227924,0.20642048073752062,-0.4995125070480871,0.3636283066878507,-0.08657525170266978,0.282401770619959
confounders_only,1.0138507946763036,0.1376647468617284,0.7846297766528163,0.11584273901363319,-0.1845012904576,0.21008611045268138,-0.015998147272842683,0.19493779590842492
confounders_plus_distances,1.1393416172228192,0.24140563754135033,0.9022542651131843,0.21555383316718807,-0.49448971993250945,0.42234575954713394,-0.07374125113397442,0.23176266491958192
