outcome,term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
Listening,z_phonological_dist,-1.19900895839413,0.25598824077391,-4.68384389364628,8.54508825411027e-06,-1.70664324618735,-0.691374670600918,toefl,z_phonological_dist,single_distance,106,0.174199408055299,0.166259017748139,509.239418241879,517.229735524215,0.000161004606246741
Reading,z_phonological_dist,-1.18211632573855,0.273635553241356,-4.32003923370249,3.57665824718933e-05,-1.72474589639629,-0.639486755080801,toefl,z_phonological_dist,single_distance,106,0.152146765479131,0.143994330531815,523.372528498092,531.362845780428,0.000715331649437866
Speaking,z_genetic_dist,-1.04584361287062,0.224774654587108,-4.65285383172645,9.67897871698047e-06,-1.49158018791927,-0.600107037821962,toefl,z_genetic_dist,single_distance,106,0.172297753064716,0.164339077613415,481.672391759865,489.662709042201,0.000193579574339609
Total,z_phonological_dist,-4.04441594254433,0.854004750087822,-4.73582370839087,6.92609504279778e-06,-5.73793940976384,-2.35089247532483,toefl,z_phonological_dist,single_distance,106,0.177397582415922,0.169487943785306,764.658130603589,772.648447885925,0.000138521900855956
Writing,z_phonological_dist,-0.838586058770107,0.193191545919959,-4.34069749158456,3.30355652243648e-05,-1.22169214412879,-0.455479973411425,toefl,z_phonological_dist,single_distance,106,0.153381642061076,0.145241080927048,449.572156825241,457.562474107577,0.000660711304487297
