term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
prop_female,15.7684201071036,4.98288157063038,3.16451833815283,0.00168455705089413,5.96948064895103,25.5673595652562,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.00402894265544343
Enroll,0.409244804056441,0.112808992592569,3.62776756224129,0.000326831843327767,0.187403591681424,0.631086016431457,stex,Speaking,z_script_dist,single_distance,gaussian_pair_weighted,536,5232.35075325047,5973.50596311572,0.00402894265544343
z_geographic_dist,0.964404871576962,0.961691353760235,1.00282160987111,0.316614943090537,-0.926781025448719,2.85559076860264,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.422153257454049
AaA,-0.925196168870946,0.293164554156632,-3.15589369776481,0.00173377998344484,-1.501710315703,-0.348682022038892,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.00402894265544343
LoR,0.221937470459962,0.510616216570108,0.434646341533671,0.664077415589444,-0.782199858834105,1.22607479975403,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.705838937987119
Edu.day,3.78504855084717,2.55127692426243,1.48358985057705,0.138785484539196,-1.23209018052079,8.80218728221513,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.216732555270051
prop_female,16.0457314172348,5.00942111875822,3.2031109057991,0.00147971421767905,6.19460138989742,25.8968614445721,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.00402894265544343
Enroll,0.400876831412494,0.113815302866527,3.52216987800499,0.000482616340981727,0.177056689112925,0.624696973712064,stex,Speaking,z_geographic_dist,single_distance,gaussian_pair_weighted,536,5233.79294986899,5974.94815973424,0.00402894265544343
z_genetic_dist,0.745938542621787,0.380575273117655,1.96002892282279,0.0507570750005982,-0.00247058725404292,1.49434767249762,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.0974535840011485
AaA,-0.904638792011932,0.28549758225524,-3.16863906470202,0.00166149766629349,-1.46607568034924,-0.343201903674625,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.00402894265544343
LoR,0.303827581468625,0.510923286134653,0.594663797313305,0.552438694327974,-0.70091360646221,1.30856876939946,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.679924546865198
Edu.day,3.3078830182868,2.56425813806159,1.2899961081092,0.197873196406278,-1.73478353795684,8.35054957453044,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.27935039492651
prop_female,16.0930801102804,4.93877543092652,3.25851627298254,0.00122567750365768,6.38087628623129,25.8052839343296,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.00402894265544343
Enroll,0.435039100844168,0.120729366384846,3.60342403734154,0.00035785727748763,0.197622309925622,0.672455891762714,stex,Speaking,z_genetic_dist,single_distance,gaussian_pair_weighted,536,5231.86221393253,5973.01742379777,0.00402894265544343
z_syntactic_dist,0.345697780168805,0.487712246673287,0.708815049297674,0.478894213353391,-0.613398419572207,1.30479397990982,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.621268168674669
AaA,-0.900673157546529,0.287117558539981,-3.13694906757543,0.00184659871707824,-1.46529576268501,-0.336050552408046,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.00402894265544343
LoR,0.232688683084583,0.514441038152486,0.452313609972172,0.651313249299029,-0.778970236797723,1.24434760296689,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.705838937987119
Edu.day,3.80133750435933,2.56191271485379,1.48378884351502,0.138732689184676,-1.23671672873529,8.83939173745396,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.216732555270051
prop_female,16.1314464014334,5.01539759345697,3.21638436451744,0.00141476411169846,6.26856351324312,25.9943292896236,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.00402894265544343
Enroll,0.397042216128318,0.113908862069867,3.48561304988535,0.00055112795901131,0.173038087724265,0.62104634453237,stex,Speaking,z_syntactic_dist,single_distance,gaussian_pair_weighted,536,5233.98780869086,5975.14301855611,0.00402894265544343
z_morphological_dist,0.577108029609544,0.521891300133373,1.10580120699858,0.269544902783933,-0.449201984235818,1.60341804345491,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.369661580960822
