dataset,outcome,model_name,n,rmse,within_r2,AIC,BIC
stex,Speaking,base,536,37.4789733484025,0.0916418756020723,5232.01265190857,5968.88372761275
stex,Speaking,base_plus_mechanistic,536,37.5607042091836,0.0977013607395723,5241.96366101379,5995.97127336225
stex,Speaking,base_plus_all8,536,37.4391232696038,0.113493982918825,5245.42921514421,6016.57336413696
