term,estimate,std.error,statistic,p.value,conf.low,conf.high
z_featural_dist,-11.3394539757811,8.00461139970547,-1.41661517462276,0.157177466200989,-27.0637767599263,4.38486880836417
z_script_dist,1.05484292016298,1.03938590815756,1.01487129263935,0.310625924240357,-0.98693508766919,3.09662092799516
z_geographic_dist,0.693237007868058,1.53059778553052,0.452919123770832,0.650790598727421,-2.31348154854623,3.69995556428234
z_genetic_dist,1.03029652974079,0.492870957765812,2.09039813262914,0.0370534647978997,0.0620968703387596,1.99849618914282
z_syntactic_dist,4.99365141824548,4.66071089316168,1.07143556695875,0.284456720431322,-4.16188641215471,14.1491892486457
z_morphological_dist,4.08076076953113,2.20404322430823,1.85148853911971,0.0646501254386599,-0.248879403945122,8.41040094300738
z_phonological_dist,0.499287155941246,0.741411392293164,0.673427952593183,0.500965878729834,-0.957147324899283,1.95572163678178
z_inventory_dist,2.62140333203722,2.62749517630626,0.997681501254893,0.318884847508647,-2.54006924957298,7.78287591364741
AaA,-0.961745293910547,0.298355175014827,-3.22349124282074,0.00134357679550013,-1.54783659078798,-0.375653997033111
LoR,0.373447899390328,0.506118599083188,0.737866381648121,0.460919162644246,-0.620775532784814,1.36767133156547
Edu.day,2.90623506972368,2.58914229306107,1.12247020085085,0.262166059505418,-2.17989680067195,7.99236694011931
prop_female,15.5088768642737,5.10295914995835,3.03919283077159,0.00248810309670575,5.48458301395578,25.5331707145917
Enroll,0.520812671558128,0.126334894788146,4.12247679021295,4.34389105757162e-05,0.272639391763068,0.768985951353189
