outcome,scheme,dataset,model_name,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_oos_r2,sd_oos_r2
Listening,5fold,toefl,baseline_mean,2.87289017580617,0.168641087781836,2.34834733893557,0.192192955426549,0,0
Reading,5fold,toefl,ridge_all8,2.92036214679356,0.433550562951472,2.38912814147673,0.464192060832208,0.0756168573723993,0.0952749776974909
Speaking,5fold,toefl,ridge_mechanistic,2.46485722079162,0.582238388311932,1.8353719871899,0.333830133890328,0.0170203505672503,0.0193392806508564
Total,5fold,toefl,ridge_mechanistic,9.46936113009181,1.01361698982903,7.67151467881761,1.05788464979018,0.0208839904279482,0.0921980937647444
Writing,5fold,toefl,ridge_mechanistic,2.10037152545064,0.341256244023122,1.63623977187418,0.240061066143334,0.0217187396319892,0.0376418451426247
