outcome,scheme,dataset,model_name,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_oos_r2,sd_oos_r2,mean_poisson_dev,sd_poisson_dev
Speaking,pair_5fold,stex,ridge_baseline_plus_mechanistic,32.2279549924682,1.96142577923566,24.5954154650142,1.48423015112394,0.22661771303784,0.0834816160635053,,
new_feat,pair_5fold,stex,ridge_baseline,3.26328234744389,0.80798651057053,2.39361395978214,0.745086775546166,,,0.83790734398476,0.4194387328351
new_sounds,pair_5fold,stex,ridge_baseline_plus_mechanistic,1.64798344306153,0.187306403426774,1.20498007292153,0.229797968058798,,,0.149566989224148,0.0445728768580647
