dataset,outcome,scheme,model_name,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_oos_r2,sd_oos_r2,mean_poisson_dev,sd_poisson_dev
stex,Speaking,pair_5fold,baseline_mean,36.844903275134,3.96817966041054,28.3109698102544,3.27022227392808,0,0,,
stex,Speaking,pair_5fold,ridge_baseline,32.2302852098871,1.84051677695099,24.6227470420671,1.39485208208314,0.226084864340591,0.0849168831042032,,
stex,Speaking,pair_5fold,ridge_baseline_plus_mechanistic,32.2279549924682,1.96142577923566,24.5954154650142,1.48423015112394,0.22661771303784,0.0834816160635053,,
stex,Speaking,pair_5fold,ridge_baseline_plus_all8,32.2285689683741,1.8910925670697,24.5977556082801,1.43383732286014,0.226298594058554,0.0848844933847038,,
stex,new_feat,pair_5fold,baseline_mean,5.32110642727282,1.51643186369844,4.43347174037065,1.78615264037043,,,2.27181654395538,1.44925423019958
stex,new_feat,pair_5fold,ridge_baseline,3.26328234744389,0.80798651057053,2.39361395978214,0.745086775546166,,,0.83790734398476,0.4194387328351
stex,new_feat,pair_5fold,ridge_baseline_plus_mechanistic,3.4087729185052,0.764168618841221,2.5558422791585,0.724536832659763,,,0.887421354202516,0.423834487462661
stex,new_feat,pair_5fold,ridge_baseline_plus_all8,3.59118945020954,0.844919823965192,2.68548084972936,0.908631841574747,,,0.991570882085983,0.466710013143822
stex,new_sounds,pair_5fold,baseline_mean,3.93079711003154,1.08912506854915,3.26718068334708,0.932096841199767,,,0.872930987599865,0.54590337940177
stex,new_sounds,pair_5fold,ridge_baseline,1.7591567296296,0.328396508536311,1.27077475202141,0.426526430448871,,,0.175127140581866,0.0790661052404986
stex,new_sounds,pair_5fold,ridge_baseline_plus_mechanistic,1.64798344306153,0.187306403426774,1.20498007292153,0.229797968058798,,,0.149566989224148,0.0445728768580647
stex,new_sounds,pair_5fold,ridge_baseline_plus_all8,1.71858739609001,0.345302573884945,1.27188102859262,0.39787235240164,,,0.167489169475313,0.0823604638095003
