pair_id,n,Speaking,new_feat,new_sounds,AaA,LoR,Edu.day,Enroll,prop_female,C,L1_code,L2_code,featural_dist,script_dist,geographic_dist,genetic_dist,syntactic_dist,morphological_dist,phonological_dist,inventory_dist,z_featural_dist,z_script_dist,z_geographic_dist,z_genetic_dist,z_syntactic_dist,z_morphological_dist,z_phonological_dist,z_inventory_dist
nucl1235__nucl1235,3,527,21,23,22.3333333333333,6.66666666666667,2.33333333333333,81.6666666666667,1,Armenia,nucl1235,nucl1235,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
nucl1235__poli1260,1,507,21,23,25,2,2,88,1,Armenia,nucl1235,poli1260,0.5469,0.195,0.0983,0.8337,0.5532,0.5955,0.4034,0.5204,-0.0855511975957703,-0.252898569775966,-0.146104133229544,-0.0803954526360032,-0.195958364855396,-0.551345999024569,0.81310648417256,0.407079436708603
nucl1235__mode1248,1,505,21,23,19,2,3,88,1,Armenia,nucl1235,mode1248,0.5354,0.195,0.0698,0.8337,0.5354,0.5818,0.4034,0.5346,-0.232166312983466,-0.252898569775966,-0.415077812405223,-0.0803954526360032,-0.389791317415568,-0.682650169634501,0.81310648417256,0.600216235875637
beng1280__stan1293,39,495.102564102564,32,24,25.8461538461539,3.76923076923077,3.05128205128205,49.7179487179487,0.641025641025641,Bangladesh,beng1280,stan1293,0.615,0.6368,0.3019,0.9196,0.6748,0.6969,0.3729,0.4982,0.782665268308751,2.58147051743537,1.7754060801097,0.390365403710053,1.12820382791522,0.420496548409527,0.478489934613093,0.105133173222114
beng1280__hind1269,1,544,32,24,30,7,4,54,0,India,beng1280,hind1269,0.4552,0.3891,0.0542,0.718,0.529,0.5169,0.3729,0.3481,-1.25464737855678,0.992350501812354,-0.562305510480332,-0.714470319681855,-0.459484064403495,-1.30466773697644,0.478489934613093,-1.93640440107167
bosn1245__stan1293,44,522.272727272727,11,19,25.25,4.79545454545455,3.36363636363636,91.9772727272727,0.659090909090909,BosniaandHerzegovina,bosn1245,stan1293,0.5837,0.1864,0.0729,0.9196,0.613,0.6774,0.2677,0.5093,0.383617171644852,-0.30807189288601,-0.385821026249272,0.390365403710053,0.455233239813047,0.233603750826047,-0.675662885506775,0.256106304965359
bosn1245__stan1295,25,537.6,11,19,25.24,3.6,3.44,90.52,0.68,BosniaandHerzegovina,bosn1245,stan1295,0.5134,0,0.0311,0.9014,0.5025,0.6023,0.359,0.5062,-0.51264740329036,-1.50392159378278,-0.780315755706935,0.290623289792728,-0.748055594900381,-0.486173126021099,0.32599255628927,0.21394263754157
bosn1245__russ1263,2,544,11,19,22.5,10.5,3,88,1,BosniaandHerzegovina,bosn1245,russ1263,0.4544,0.3498,0.1647,0.6162,0.4783,0.4862,0.195,0.4214,-1.26484669093157,0.740221246204827,0.480557350885022,-1.27236851730733,-1.01158129444848,-1.59890409009505,-1.4732570872436,-0.939437684244661
bosn1245__stan1290,1,539,11,19,28,1,4,91,1,BosniaandHerzegovina,bosn1245,stan1290,0.5014,0,0.0552,0.9304,0.519,0.5245,0.359,0.483,-0.665637088912302,-1.50392159378278,-0.552867837526799,0.449553031748905,-0.568378981572131,-1.23182746714904,0.32599255628927,-0.101604808984852
bosn1245__dutc1256,1,508,11,19,25,9,2,91,0,BosniaandHerzegovina,bosn1245,dutc1256,0.507,0,0.0569,0.9196,0.507,0.6019,0.359,0.4766,-0.594241902288729,-1.50392159378278,-0.536823793505794,0.390365403710053,-0.699052882174494,-0.490006824433068,0.32599255628927,-0.188652380440416
bulg1262__stan1293,396,529.944444444445,12,21,26.5631313131313,2.92929292929293,3.40759493670886,90.1010101010101,0.866161616161616,Bulgaria,bulg1262,stan1293,0.5636,0.1864,0.0896,0.9131,0.5924,0.6236,0.2677,0.521,0.127359448228098,-0.30807189288601,-0.228211887925277,0.354743220168151,0.230909710445658,-0.282028685583759,-0.675662885506775,0.415240146532563
bulg1262__russ1263,60,522,12,21,29.9166666666667,3.86666666666667,3.1,90.0333333333333,0.916666666666667,Bulgaria,bulg1262,russ1263,0.4514,0.3498,0.145,0.5804,0.4462,0.6041,0.195,0.345,-1.30309411233706,0.740221246204827,0.294635193700429,-1.46856454358427,-1.3611339785598,-0.46892148316724,-1.4732570872436,-1.97856806849546
bulg1262__stan1288,3,503,12,21,17.3333333333333,1.33333333333333,2.33333333333333,90,0.333333333333333,Bulgaria,bulg1262,stan1288,0.4485,0,0.0891,0.9248,0.3895,0.3413,0.2871,0.5933,-1.3400666196957,-1.50392159378278,-0.232930724402044,0.418863150543574,-1.97856815890597,-2.98766133983076,-0.46282481791813,1.39860568031964
bulg1262__nucl1301,7,506.428571428572,12,21,21.7142857142857,3,3.14285714285714,90,0.857142857142857,Bulgaria,bulg1262,nucl1301,0.5369,0,0.0312,1,0.6082,0.5062,0.195,0.4912,-0.213042602280722,-1.50392159378278,-0.779371988411582,0.83098441244373,0.402963679572102,-1.40721916949661,-1.4732570872436,0.00992489194259083
bulg1262__stan1290,17,540.411764705882,12,21,29.3529411764706,2.29411764705882,3.17647058823529,90,0.882352941176471,Bulgaria,bulg1262,stan1290,0.5173,0,0.076,0.9248,0.5433,0.5849,0.359,0.4788,-0.462925755463229,-1.50392159378278,-0.356564240093321,0.418863150543574,-0.303764332852346,-0.652939006941743,0.32599255628927,-0.158729777752566
bulg1262__stan1295,39,531.615384615385,12,21,28.3076923076923,2.66666666666667,3.33333333333333,90,0.897435897435897,Bulgaria,bulg1262,stan1295,0.4683,0,0.0467,0.8934,0.4589,0.4315,0.359,0.5162,-1.08763363841949,-1.50392159378278,-0.633088057631827,0.246780602356541,-1.22283743375563,-2.12316234793179,0.32599255628927,0.349954467940889
bulg1262__mode1248,1,538,12,21,29,1,4,90,1,Bulgaria,bulg1262,mode1248,0.4771,0.2736,0.0048,0.8831,0.4591,0.5825,0.195,0.4683,-0.975441202296734,0.251359941439088,-1.02852655438484,0.19033314228245,-1.22065953541226,-0.675941197413556,-1.4732570872436,-0.301542199671852
bulg1262__bulg1262,1,518,12,21,24,5,3,90,1,Bulgaria,bulg1262,bulg1262,0,0,0,0,0,0,0,0,-7.05805611981579,-1.50392159378278,-1.0738273845618,-4.64935151707962,-6.22002518262434,-6.25876450984315,-3.61260879754184,-6.67097621727199
