model_name,repeat_id,fold,n_test,rmse,mae,oos_r2,poisson_dev,dataset,outcome,scheme
ridge_all8,1,3,21,2.41514281420044,1.73613445378151,0,,toefl,Writing,5fold
ridge_all8,1,4,21,2.34141464877898,1.87018241706797,0.0192668142784148,,toefl,Writing,5fold
ridge_all8,1,5,21,2.29682016858406,1.90321079532864,-0.0514729133987117,,toefl,Writing,5fold
baseline_mean,1,1,22,8.16665720090828,7.31168831168831,0,,toefl,Total,5fold
baseline_mean,1,2,21,9.19930864890017,7.46330532212885,0,,toefl,Total,5fold
baseline_mean,1,3,21,9.92516603109331,7.24593837535014,0,,toefl,Total,5fold
baseline_mean,1,4,21,10.3909253538053,8.51540616246499,0,,toefl,Total,5fold
baseline_mean,1,5,21,10.2184239088401,8.56806722689076,0,,toefl,Total,5fold
ridge_mechanistic,1,1,22,8.16665720090828,7.31168831168832,-6.66133814775094e-16,,toefl,Total,5fold
ridge_mechanistic,1,2,21,9.1741645114892,7.44417123346258,0.00545905688979287,,toefl,Total,5fold
ridge_mechanistic,1,3,21,9.01774989018197,6.21082246027905,0.174492904124161,,toefl,Total,5fold
ridge_mechanistic,1,4,21,10.3909253538053,8.51540616246499,0,,toefl,Total,5fold
ridge_mechanistic,1,5,21,10.5973086940743,8.87548522619313,-0.075532008874212,,toefl,Total,5fold
ridge_all8,1,1,22,8.16665720090828,7.31168831168832,-6.66133814775094e-16,,toefl,Total,5fold
ridge_all8,1,2,21,9.19930864890017,7.46330532212885,2.22044604925031e-16,,toefl,Total,5fold
ridge_all8,1,3,21,9.92516603109331,7.24593837535014,-4.44089209850063e-16,,toefl,Total,5fold
ridge_all8,1,4,21,10.2675928517568,8.40764378214918,0.0235976230522468,,toefl,Total,5fold
ridge_all8,1,5,21,12.5838890014122,9.48400754548781,-0.516568136372719,,toefl,Total,5fold
