dataset,native_code,target_code,speaking_score,n_observations,native_language,target_language,asjp_lexical,concepts_lexical,glottolog_genetic,l2v_genetic,urielplus_genetic,modality_hyperbolic,l2v_geographic,urielplus_geographic,modality_speaker,grambank_typological,qwals_typological,l2v_featural,l2v_syntactic,urielplus_featural,urielplus_syntactic,urielplus_morphological,modality_island,l2v_inventory,l2v_phonological,phoible_phonological,urielplus_inventory,urielplus_phonological,scripts_script,urielplus_script,pair_id,outcome,outcome_z
stex,roma1327,dutc1256,526.4171717171718,990,Romanian,Dutch,0.455655141200555,0.06,0.825757575757576,0.8889,0.9248,20.539633,0.1,0.0626,0.085486656947106,,0.282767868041992,0.5,0.55,0.5026,0.5272,0.5582,0.0760617283744158,0.4679,0.641,0.551020408163265,0.4679,0.359,0.666666666666667,0.0,stex::roma1327->dutc1256,526.4171717171718,0.6543913448370441
stex,rund1242,dutc1256,493.3101265822785,158,Rundi,Dutch,,0.0699999999999999,1.0,1.0,1.0,26.80815,0.3,0.2501,0.332215334252813,,0.277500009536743,0.6,0.88,0.6197,0.7028,0.6871,0.111325473937772,0.4788,0.0002,0.62,0.4788,0.5855,0.666666666666667,0.0,stex::rund1242->dutc1256,493.3101265822785,-1.07196626798252
stex,russ1263,dutc1256,520.4713679745494,3772,Russian,Dutch,0.468710591358682,0.0799999999999999,0.75,0.8,0.8934,19.760813,0.2,0.1739,0.222357567588052,0.535193573208816,0.304119059244792,0.6,0.57,0.5109,0.5281,0.4591,0.0909689715367799,0.5297,0.6162,0.761904761904762,0.5297,0.3064,1.0,0.3498,stex::russ1263->dutc1256,520.4713679745494,0.3443490709468615
stex,serb1264,dutc1256,514.4122486288849,2188,Serbian,Dutch,,0.1,0.825757575757576,0.9,0.9196,25.555614,0.1,0.0621,0.0738651584529784,,,0.8,0.58,0.5028,0.4976,0.6019,0.0898392508480868,0.6068,0.8278,0.825396825396825,0.4766,0.359,0.75,0.0,stex::serb1264->dutc1256,514.4122486288849,0.028397986615700962
stex,slov1268,dutc1256,549.5535714285714,56,Slovenian,Dutch,0.457009844625713,0.0899999999999999,0.773809523809524,0.9,0.9047,20.457272,0.0,0.0394,0.0522436919041004,0.512470743190538,0.338904136266464,0.5,0.5,0.5081,0.5171,0.5952,0.0911350030713116,0.4622,0.0002,0.538461538461538,0.4622,0.359,0.666666666666667,0.0,stex::slov1268->dutc1256,549.5535714285714,1.860832439542731
stex,slov1269,dutc1256,534.4686567164179,335,Slovak,Dutch,0.462702356924271,0.06,0.773809523809524,0.9,0.9047,24.488085,0.1,0.0433,0.0550575980139653,,0.365079402923584,0.6,0.63,0.6969,0.7323,0.7334,0.156327903050885,0.6068,0.0002,0.661290322580645,0.6137,0.5212,0.666666666666667,0.0,stex::slov1269->dutc1256,534.4686567164179,1.0742337791683807
stex,soma1255,dutc1256,482.46335697399525,423,Somali,Dutch,0.497414476356798,0.1,1.0,1.0,1.0,22.801731,0.3,0.2494,0.306105696974499,0.602283237388536,0.36366029886099,0.6,0.62,0.5354,0.578,0.4835,0.106560059697703,0.5193,0.5687,0.615384615384615,0.5193,0.4246,0.8,0.0,stex::soma1255->dutc1256,482.46335697399525,-1.6375680367741405
stex,stan1288,dutc1256,514.1020194986072,2872,Spanish,Dutch,0.469905994718571,0.03,0.845238095238095,0.9231,0.9386,19.525282,0.1,0.0563,0.396600616360482,,0.237946409928171,0.6,0.58,0.5249,0.5101,0.5353,0.0916368429368836,0.557,0.5922,0.725490196078431,0.557,0.4498,0.666666666666667,0.0,stex::stan1288->dutc1256,514.1020194986072,0.01222117534815681
stex,stan1289,dutc1256,524.8714285714286,70,Catalan,Dutch,0.466568377601251,0.05,0.833333333333333,0.9091,0.9328,19.780703,0.1,0.0466,0.0783753492600027,0.485984469425323,0.271493269049603,0.5,0.47,0.4715,0.4775,0.5927,0.0816254701119633,0.4234,0.6162,0.637931034482759,0.4234,0.3064,0.666666666666667,0.0,stex::stan1289->dutc1256,524.8714285714286,0.5737890006458123
stex,stan1290,dutc1256,524.8246505717916,1574,French,Dutch,0.459634234952429,0.01,0.857843137254902,0.9375,0.9386,21.280947,0.0,0.0203,0.120452201270022,0.473160223407384,0.178109332134849,0.5,0.51,0.4357,0.47,0.5441,0.0564822516420435,0.3411,0.5456,0.62962962962963,0.3411,0.3445,0.666666666666667,0.0,stex::stan1290->dutc1256,524.8246505717916,0.5713497749324694
stex,stan1293,dutc1256,534.5603419927655,3041,English,Dutch,0.329946874327002,0.0,0.0,0.6,0.7068,14.338248,0.0,0.0174,0.282829252479654,0.0,0.150146880707183,0.5,0.49,0.5343,0.5416,0.6462,0.157329700162668,0.4861,0.5687,,0.4861,0.3548,0.0,0.1864,stex::stan1293->dutc1256,534.5603419927655,1.0790146822710698
stex,stan1295,dutc1256,554.7732491389207,5226,German,Dutch,0.284108551672055,0.04,0.583333333333333,0.2857,0.5236,19.192282,0.0,0.0268,0.0316297622546504,,0.0598101314110091,0.4,0.35,0.3577,0.3856,0.4278,0.0410159652546496,0.3086,0.5456,0.42,0.3086,0.2421,0.666666666666667,0.0,stex::stan1295->dutc1256,554.7732491389207,2.1330110744831496
stex,stan1306,dutc1256,506.42,50,Malay,Dutch,0.485456142939143,0.05,1.0,1.0,1.0,25.671883,0.5,0.3699,0.549104016228071,0.55117825460955,0.202380955219269,0.6,0.76,0.5869,0.6276,0.7992,0.104408199929076,0.4829,0.0002,,0.4829,0.3064,0.666666666666667,0.658,stex::stan1306->dutc1256,506.42,-0.38835558374386553
stex,swah1253,dutc1256,496.96,75,Swahili,Dutch,,,,1.0,1.0,22.871656,0.4,0.2827,0.335415938918271,,0.370114088058472,0.6,0.71,0.6037,0.653,0.7077,0.120340918692049,0.4894,0.5687,,0.4894,0.5114,,0.5335,stex::swah1253->dutc1256,496.96,-0.8816446390108568
stex,swed1254,dutc1256,552.2884615384615,312,Swedish,Dutch,0.310903725788875,0.05,0.611111111111111,0.7,0.7323,18.40103,0.1,0.0477,0.0789526622994491,0.455463289970375,0.156900362534957,0.4,0.36,0.4026,0.353,0.5198,0.0536961150590206,0.46,0.0002,0.62962962962963,0.46,0.1722,0.666666666666667,0.1864,stex::swed1254->dutc1256,552.2884615384615,2.003442519729488
stex,taga1270,dutc1256,499.7406340057637,347,Tagalog,Dutch,0.489810502950637,0.0699999999999999,1.0,1.0,1.0,22.200485,0.5,0.3785,0.507674867624141,0.593616839704664,0.346589194403754,0.6,0.71,0.6003,0.6126,0.805,0.111035561917465,0.5255,0.5922,0.511111111111111,0.5255,0.4034,0.75,0.405,stex::taga1270->dutc1256,499.7406340057637,-0.7366492561623951
stex,tami1289,dutc1256,517.25,28,Tamil,Dutch,0.489019160698244,0.05,1.0,1.0,1.0,22.367968,0.4,0.3025,0.357766167795823,0.555389693317031,0.413895696963904,0.6,0.71,0.6195,0.7104,0.5348,0.137340889435119,0.5729,0.0002,0.67741935483871,0.5729,0.359,0.8,0.6022,stex::tami1289->dutc1256,517.25,0.17637173851210552
stex,thai1261,dutc1256,488.05283018867925,265,Thai,Dutch,0.441250801087596,0.0799999999999999,1.0,1.0,1.0,23.653048,0.5,0.3392,0.457644826522777,0.525538272812244,0.318586510671696,0.6,0.69,0.5865,0.6312,0.754,0.105676950929846,0.4799,0.5687,0.6,0.4799,0.4835,1.0,0.6327,stex::thai1261->dutc1256,488.05283018867925,-1.3461065186439487
stex,tigr1271,dutc1256,494.8333333333333,60,Tigrigna,Dutch,0.459121121133203,0.05,1.0,1.0,1.0,23.149725,0.3,0.2005,0.274740446263554,,0.35972297668457,0.5,0.64,0.5509,0.6129,0.6007,0.109481691695781,0.4757,0.0002,0.752941176470588,0.4757,0.3931,1.0,0.572,stex::tigr1271->dutc1256,494.8333333333333,-0.9925390777918078
stex,ukra1253,dutc1256,517.667638483965,343,Ukranian,Dutch,0.470653438180582,0.0899999999999999,0.773809523809524,0.9,0.9047,21.246597,0.1,0.0593,0.102925245214424,0.463345730029665,0.351312225515192,0.5,0.47,0.4943,0.5058,0.5684,0.0740890619087354,0.4527,0.0002,0.673076923076923,0.4527,0.359,0.75,0.3498,stex::ukra1253->dutc1256,517.667638483965,0.19814938049923334
stex,urdu1245,dutc1256,505.8267716535433,127,Urdu,Dutch,0.435080385335952,0.05,0.833333333333333,0.9,0.9196,21.63758,0.3,0.2329,0.309543654061422,,0.336857217730898,0.5,0.62,0.5555,0.6203,0.5266,0.0935968803740956,0.4971,0.0002,0.723684210526316,0.4971,0.439,0.75,0.4681,stex::urdu1245->dutc1256,505.8267716535433,-0.4192893100209519
stex,viet1252,dutc1256,490.84615384615387,182,Vietnamese,Dutch,0.50226750855782,0.0799999999999999,1.0,1.0,1.0,22.17564,0.5,0.3402,0.457249814789326,0.54456562886206,0.335050030031066,0.6,0.69,0.6081,0.6662,0.8886,0.108122360823251,0.46,0.5456,0.704918032786885,0.464,0.4935,0.666666666666667,0.3455,stex::viet1252->dutc1256,490.84615384615387,-1.200449437454669
stex,yoru1245,dutc1256,488.95652173913044,23,Yoruba,Dutch,0.49270964992822,0.03,1.0,1.0,1.0,21.596264,0.2,0.1979,0.239019202431292,,0.35601552327474,0.6,0.68,0.6441,0.6972,0.9392,0.107065649307574,0.4766,0.5922,0.634615384615385,0.4766,0.597,0.666666666666667,0.3776,stex::yoru1245->dutc1256,488.95652173913044,-1.2989837753907958
toefl,afri1274,stan1293,22.0,1,Afrikaans,English,0.296874391491227,0.04,0.564393939393939,0.6,0.6638,16.763762,0.4,0.3303,0.512526162044283,,0.119345240294933,0.6,0.63,0.5915,0.6176,0.6902,0.240640412095399,0.5144,0.5687,0.7,0.4922,0.3881,0.666666666666667,0.4161,toefl::afri1274->stan1293,22.0,0.09667364890456574
toefl,akan1250,stan1293,21.0,1,Akan,English,,,1.0,1.0,1.0,20.151758,0.3,0.2053,0.39994415456284,,0.402400170603106,0.6,0.78,0.6619,0.7287,0.7837,0.206447714417622,0.4969,0.5207,,0.4969,0.5096,0.666666666666667,0.4161,toefl::akan1250->stan1293,21.0,-0.3011755985103804
toefl,alba1267,stan1293,23.0,1,Albanian,English,,,,1.0,0.7837,16.834536,1.0,0.0811,0.285904658148783,,0.19044817756204,0.6,0.57,0.5618,0.5887,0.6564,0.168655165511358,0.5983,0.5687,,0.4961,0.3141,,0.1789,toefl::alba1267->stan1293,23.0,0.4945228963195119
toefl,amha1245,stan1293,21.0,1,Amharic,English,0.503618996145625,0.04,1.0,1.0,1.0,21.115688,0.3,0.2286,0.380675115958881,0.543358164784606,0.318158273135915,0.5,0.61,0.6184,0.6721,0.6894,0.184890738204618,0.492,0.4816,0.729411764705882,0.492,0.3729,1.0,0.5933,toefl::amha1245->stan1293,21.0,-0.3011755985103804
toefl,assa1263,stan1293,24.0,1,Assamese,English,,,0.833333333333333,0.9,0.9248,19.909649,0.4,0.2988,0.342075561527491,,0.38493589254526,0.6,0.81,0.6622,0.7969,0.6873,0.18407811044221,0.4638,0.5687,0.56,0.4638,0.2677,0.75,0.6368,toefl::assa1263->stan1293,24.0,0.8923721437344581
toefl,bamb1269,stan1293,17.0,1,Bambara,English,,0.12,1.0,1.0,1.0,20.85726,0.2,0.1843,0.377180047069822,0.495433694306862,0.312703434425064,0.6,0.67,0.6251,0.6806,0.6875,0.183352219990589,0.5032,0.39,0.56140350877193,0.5032,0.4878,0.8,0.4404,toefl::bamb1269->stan1293,17.0,-1.892572588170165
toefl,bela1254,stan1293,22.0,1,Belarusian,English,0.470658415255658,0.04,0.75,0.9,0.8934,19.783377,0.1,0.0725,0.276811985208209,0.529728463363976,0.37962962962963,0.9,0.76,0.5928,0.6227,0.6946,0.168955655800941,0.5983,0.5687,,0.4911,0.2677,0.75,0.4161,toefl::bela1254->stan1293,22.0,0.09667364890456574
toefl,bemb1257,stan1293,22.0,1,Bemba,English,,0.13,1.0,1.0,1.0,20.732475,0.4,0.291,0.455616950444458,0.608580619450185,0.379761934280396,0.6,0.79,0.6745,0.7259,0.737,0.22187437184817,0.5043,0.5687,0.638297872340426,0.5043,0.5295,0.666666666666667,0.1864,toefl::bemb1257->stan1293,22.0,0.09667364890456574
