fold,model,n_train,n_test,rmse,mae,r2,spearman
0,baseline_mean,141,36,0.8571344132136951,0.7191866959777171,-0.051046753218811025,
0,best_single_distance,141,36,0.9850708295612856,0.787720882751127,-0.3882225297266775,-0.17817416127494962
0,modality_scores_ridge,141,36,1.130027482612528,0.863767404877857,-0.8268470260681982,-0.42857142857142866
0,all_distances_ridge,141,36,1.1111140368081882,0.8738587432512214,-0.7662063392177412,-0.42857142857142866
1,baseline_mean,141,36,0.951651222695311,0.9017026505785015,-0.022389892051575933,
1,best_single_distance,141,36,0.7345309562279175,0.6937689890827992,0.3909104698702811,0.5455447255899809
1,modality_scores_ridge,141,36,0.9369763494035241,0.7253857244894981,0.008898382441348107,0.261904761904762
1,all_distances_ridge,141,36,0.9889926607373306,0.7106769505770107,-0.10419827605863774,0.3571428571428572
2,baseline_mean,142,35,0.8713022600991356,0.7912753567970022,-0.03683726820507216,
2,best_single_distance,142,35,0.8532705532442664,0.7266776843963221,0.005633614937118003,-0.07142857142857144
2,modality_scores_ridge,142,35,0.9053407183747996,0.7868472189833039,-0.11943021529918707,-0.07142857142857144
2,all_distances_ridge,142,35,0.9369046602784018,0.8156908346355037,-0.19884687730649775,-0.21428571428571433
3,baseline_mean,142,35,1.0462232656314692,0.9742572697879289,-0.0003049223745066332,
3,best_single_distance,142,35,1.1038054910303206,1.0195204211553501,-0.11344497403540599,-0.7207499701564473
3,modality_scores_ridge,142,35,1.1630724151581637,0.9796538489488746,-0.23622399813787642,-0.4642857142857144
3,all_distances_ridge,142,35,1.2403580233150107,1.0019140527443864,-0.40597558570672954,-0.4642857142857144
4,baseline_mean,142,35,1.0325236843864556,1.0065283100644093,-0.010836662764184934,
4,best_single_distance,142,35,1.0442369919205343,0.982060886687489,-0.03390131644824379,0.2702812388086677
4,modality_scores_ridge,142,35,1.3420039668852828,1.208360175957025,-0.7076094107361908,-0.28571428571428575
4,all_distances_ridge,142,35,1.3786698370954191,1.2682157769197278,-0.8021937887374058,-0.42857142857142866
