modality_score,n,beta,se,ci_low,ci_high,p_value,drop_one_partial_r2
modality_lexical_pc1,177,-0.15451147786758399,0.08046933873873352,-0.31222848365525546,0.003205527920087492,0.05484165890712435,0.02249530164402902
modality_genetic_pc1,177,-0.11943500751607677,0.07305447328895368,-0.2626191440719694,0.023749129039815825,0.10207503755620066,0.026852833559109168
modality_geographic_pc1,177,-0.2715657914766251,0.07817875422929028,-0.42479333412224246,-0.11833824883100769,0.0005134263290407585,0.12445058208250293
modality_typological_structural_pc1,177,0.037138319848720486,0.08915330727475822,-0.13759895151243842,0.2118755912098794,0.6769951995975132,0.0019692278510931027
modality_phonological_inventory_pc1,177,-0.05179936797777685,0.08657811765713287,-0.2214893604350286,0.1178906244794749,0.5496422409629889,0.004140481539777419
modality_script_pc1,177,0.014985476294030367,0.06342913556745344,-0.10933334498868695,0.13930429757674767,0.8132344868988134,0.000377776370488081
