model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std
all_distances_ridge,1.13120784364687,0.18133797610642796,0.93407127162557,0.21435933177736316,-0.4554841734054024,0.3195588386238018,-0.23571428571428577,0.3458942860800929
baseline_mean,0.9517669692052133,0.0878543431534507,0.8785900566411119,0.12154000633376685,-0.02428309972283014,0.02020670795707714,,
best_single_distance,0.9441829643968649,0.14948328333053731,0.8419497728146175,0.14945603946985073,-0.02780494708058563,0.28005042029913635,-0.03090534769226394,0.4801624425998911
modality_scores_ridge,1.0954841864868596,0.178754498525461,0.9128028746513117,0.19053717733364176,-0.3762424535600209,0.36970924326037835,-0.19761904761904767,0.29970696194541224
