dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
toefl,toefl_00071,Norwegian,norw1258,English,stan1293,25,0.497573999459643,,1,,0.8,0.7,0.1,0.5983,0.5687,0.59,16.164381,0.153072484629733,0.287905882349575,,0.123025798797607,0.666666666666667,0.5311,0.7048,0.0423,0.4769,0.6356,0.409,0,0.5352
toefl,toefl_00072,Oriya,oriy1255,English,stan1293,24,,0.0799999999999999,0.816666666666667,0.571518298770167,0.6,0.9,1,0.5983,0.5687,0.57,18.80561,0.192762939968482,0.342101650983917,0.794117647058824,0.384325436183385,1,0.6317,0.9131,0.2962,0.4473,0.7083,0.1864,0.641,0.7195
toefl,toefl_00073,Oromo,west2721,English,stan1293,19,,,1,,0.9,1,0.3,0.5983,0.5687,0.91,22.193323,0.24613955770675,0.384304824970485,,0.357142853736877,0.666666666666667,0.859,1,0.2336,0.7509,0.6736,0.7323,0.641,0.9132
toefl,toefl_00074,Polish,poli1260,English,stan1293,23,0.483498677539494,0.05,0.791666666666667,0.559850726373464,0.5,0.9,0.1,0.5472,0.2804,0.59,20.819458,0.196306578078753,0.278776757706189,0.815384615384615,0.222822305632801,0.666666666666667,0.5977,0.9047,0.0549,0.5472,0.6689,0.1864,0.1864,0.6206
toefl,toefl_00075,Portuguese,port1283,English,stan1293,22,0.478922696621041,0.0799999999999999,0.854166666666667,0.481999203654147,0.5,0.9,0.1,0.4235,0.5687,0.47,19.307278,0.153018482995216,0.500868459219414,0.716666666666667,0.160884346280779,0.666666666666667,0.5261,0.9359,0.0512,0.4235,0.6902,0.3277,0.1864,0.5368
toefl,toefl_00076,Punjabi,panj1256,English,stan1293,23,0.469350533643146,0.05,0.825757575757576,0.564276492686879,0.6,0.9,0.3,0.4336,0.5687,0.65,18.090515,0.194051934544261,0.325111145902885,0.76,0.301082235394102,1,0.6057,0.9131,0.2534,0.4336,0.7244,0.2617,0.5392,0.6784
toefl,toefl_00077,Pushtu,pash1269,English,stan1293,20,,,0.75,,,,,,,,,,,0.701754385964912,,1,,,,,,,,
toefl,toefl_00078,Romanian,roma1327,English,stan1293,23,0.465095880761238,0.06,0.825757575757576,,0.5,0.9,0.1,0.4997,0.3498,0.53,18.942312,0.152571034227631,0.287976568484435,0.551020408163265,0.170426067553068,0.666666666666667,0.5476,0.9248,0.0797,0.4997,0.6104,0.2677,0.1864,0.5772
toefl,toefl_00079,Russian,russ1263,English,stan1293,22,0.459441807880972,0.0799999999999999,0.75,0.535193573208816,0.5,0.9,0.2,0.5594,0.2804,0.49,18.162127,0.18197902049851,0.269571529203966,0.761904761904762,0.19356024825333,1,0.5951,0.8934,0.1849,0.5594,0.6596,0.3277,0.3918,0.6046
toefl,toefl_00080,Serbian,serb1264,English,stan1293,23,,0.1,0.825757575757576,,0.8,0.9,0.1,0.5983,0.8632,0.62,23.965153,0.174754927513953,0.284398816116161,0.825396825396825,,0.75,0.5804,0.9196,0.079,0.5093,0.6774,0.2677,0.1864,0.6067
toefl,toefl_00081,Shona,shon1251,English,stan1293,23,0.498100497974631,0.11,1,0.596978206238221,0.6,1,0.4,0.5348,0.5687,0.75,20.212133,0.222959455838546,0.480058346108636,0.698412698412698,0.301449278126592,0.666666666666667,0.6818,1,0.3141,0.5348,0.7689,0.5456,0.1864,0.7363
toefl,toefl_00082,Sindhi,sind1272,English,stan1293,24,,0.05,0.825757575757576,,0.6,0.9,0.3,0.494,0.4054,0.57,18.214127,0.190200264616714,0.323669976989573,0.708333333333333,0.199206352233887,1,0.6125,0.9131,0.2493,0.494,0.6983,0.3141,0.5804,0.6767
toefl,toefl_00083,Sinhalese,sinh1246,English,stan1293,22,,0.15,0.791666666666667,,0.6,0.9,0.4,0.4991,0.4121,0.78,19.592552,0.18559602748721,0.397105183184978,0.68421052631579,0.30677436646961,1,0.6217,0.9047,0.3273,0.4991,0.6465,0.2677,0.5765,0.7086
toefl,toefl_00084,Slovak,slov1269,English,stan1293,24,0.487538594722823,0.06,0.773809523809524,,0.6,0.9,0.1,0.5983,0.5687,0.57,22.891241,0.249068708727691,0.285142854751967,0.661290322580645,0.367063522338867,0.666666666666667,0.6468,0.9047,0.0605,0.6054,0.6736,0.5641,0.1864,0.6597
toefl,toefl_00085,Slovenian,slov1268,English,stan1293,25,0.461849315274843,0.0899999999999999,0.773809523809524,0.512470743190538,0.5,0.9,0.1,0.4546,0.5687,0.56,18.864693,0.164064717255912,0.289931723473418,0.538461538461538,0.154404759407043,0.666666666666667,0.5672,0.9047,0.0559,0.4546,0.6722,0.2677,0.1864,0.6046
toefl,toefl_00086,Somali,soma1255,English,stan1293,20,0.493898748761382,0.1,1,0.602283237388536,0.5,1,0.3,0.4645,0.4816,0.62,21.263983,0.183652174350758,0.373107688187701,0.615384615384615,0.333596167626319,0.8,0.5981,1,0.2629,0.4645,0.641,0.439,0.1864,0.6641
toefl,toefl_00087,Spanish,stan1288,English,stan1293,21,0.468238237094023,0.03,0.845238095238095,,0.5,0.9,0.1,0.5481,0.3433,0.4,17.910675,0.160092842495181,0.37569292418397,0.725490196078431,0.185945984501167,0.666666666666667,0.556,0.9386,0.0575,0.5481,0.6548,0.2677,0.1864,0.5536
toefl,toefl_00088,Swahili,swah1253,English,stan1293,22,,,,,0.6,1,0.4,0.484,0.2736,0.71,21.272171,0.20253057191725,0.413059634879103,,0.283377114464255,,0.6574,1,0.294,0.484,0.8056,0.3729,0.5574,0.7195
