country,country_name,country_code,confounder,source,source_name,year,timing,region
Ethiopia,Ethiopia,ETH,hdi,HDI,Ethiopia,2019,latest_available_at_or_before_2019,Africa
Syria,Syria,SYR,hdi,HDI,Syria,2019,latest_available_at_or_before_2019,Asia
Egypt,Egypt,EGY,hdi,HDI,Egypt,2019,latest_available_at_or_before_2019,Africa
Eritrea,Eritrea,ERI,hdi,HDI,Eritrea,2019,latest_available_at_or_before_2019,Africa
Iran,Iran,IRN,hdi,HDI,Iran,2019,latest_available_at_or_before_2019,Asia
Algeria,Algeria,DZA,hdi,HDI,Algeria,2019,latest_available_at_or_before_2019,Africa
Lebanon,Lebanon,LBN,hdi,HDI,Lebanon,2019,latest_available_at_or_before_2019,Asia
Iraq,Iraq,IRQ,hdi,HDI,Iraq,2019,latest_available_at_or_before_2019,Asia
Libya,Libya,LBY,hdi,HDI,Libya,2019,latest_available_at_or_before_2019,Africa
UnitedStates,United States,USA,hdi,HDI,United States,2019,latest_available_at_or_before_2019,North America
Israel,Israel,ISR,hdi,HDI,Israel,2019,latest_available_at_or_before_2019,Asia
Kuwait,Kuwait,KWT,hdi,HDI,Kuwait,2019,latest_available_at_or_before_2019,Asia
Tunisia,Tunisia,TUN,hdi,HDI,Tunisia,2019,latest_available_at_or_before_2019,Africa
SaudiArabia,Saudi Arabia,SAU,hdi,HDI,Saudi Arabia,2019,latest_available_at_or_before_2019,Asia
Greece,Greece,GRC,hdi,HDI,Greece,2019,latest_available_at_or_before_2019,Europe
Belgium,Belgium,BEL,hdi,HDI,Belgium,2019,latest_available_at_or_before_2019,Europe
Germany,Germany,DEU,hdi,HDI,Germany,2019,latest_available_at_or_before_2019,Europe
Togo,Togo,TGO,hdi,HDI,Togo,2019,latest_available_at_or_before_2019,Africa
Spain,Spain,ESP,hdi,HDI,Spain,2019,latest_available_at_or_before_2019,Europe
India,India,IND,hdi,HDI,India,2019,latest_available_at_or_before_2019,Asia
Aruba,Aruba,ABW,hdi,HDI,,,,
Iceland,Iceland,ISL,hdi,HDI,Iceland,2019,latest_available_at_or_before_2019,Europe
Switzerland,Switzerland,CHE,hdi,HDI,Switzerland,2019,latest_available_at_or_before_2019,Europe
ElSalvador,El Salvador,SLV,hdi,HDI,El Salvador,2019,latest_available_at_or_before_2019,North America
Somalia,Somalia,SOM,hdi,HDI,Somalia,2022,fallback_closest_after_2019,Africa
Tanzania,Tanzania,TZA,hdi,HDI,Tanzania,2019,latest_available_at_or_before_2019,Africa
Russia,Russia,RUS,hdi,HDI,Russia,2019,latest_available_at_or_before_2019,Europe
Mozambique,Mozambique,MOZ,hdi,HDI,Mozambique,2019,latest_available_at_or_before_2019,Africa
China,China,CHN,hdi,HDI,China,2019,latest_available_at_or_before_2019,Asia
Sweden,Sweden,SWE,hdi,HDI,Sweden,2019,latest_available_at_or_before_2019,Europe
Azerbaijan,Azerbaijan,AZE,hdi,HDI,Azerbaijan,2019,latest_available_at_or_before_2019,Asia
Armenia,Armenia,ARM,hdi,HDI,Armenia,2019,latest_available_at_or_before_2019,Asia
Georgia,Georgia,GEO,hdi,HDI,Georgia,2019,latest_available_at_or_before_2019,Asia
Ukraine,Ukraine,UKR,hdi,HDI,Ukraine,2019,latest_available_at_or_before_2019,Europe
Argentina,Argentina,ARG,hdi,HDI,Argentina,2019,latest_available_at_or_before_2019,South America
Bangladesh,Bangladesh,BGD,hdi,HDI,Bangladesh,2019,latest_available_at_or_before_2019,Asia
Pakistan,Pakistan,PAK,hdi,HDI,Pakistan,2019,latest_available_at_or_before_2019,Asia
Indonesia,Indonesia,IDN,hdi,HDI,Indonesia,2019,latest_available_at_or_before_2019,Asia
BosniaandHerzegovina,Bosniaand Herzegovina,BIH,hdi,HDI,Bosnia and Herzegovina,2019,latest_available_at_or_before_2019,Europe
SerbiaandMontenegro,Serbiaand Montenegro,,hdi,HDI,,,,
Slovenia,Slovenia,SVN,hdi,HDI,Slovenia,2019,latest_available_at_or_before_2019,Europe
Bulgaria,Bulgaria,BGR,hdi,HDI,Bulgaria,2019,latest_available_at_or_before_2019,Europe
Norway,Norway,NOR,hdi,HDI,Norway,2019,latest_available_at_or_before_2019,Europe
