Native.Language,Reading,Listening,Speaking,Writing,Total,code,L1_code,L2_code,urielplus_featural_dist,urielplus_script_dist,urielplus_geographic_dist,urielplus_genetic_dist,urielplus_syntactic_dist,urielplus_morphological_dist,urielplus_phonological_dist,urielplus_inventory_dist,modality_island_dist,modality_speaker_dist,modality_hyperbolic_dist,l2v_genetic_dist,l2v_geographic_dist,l2v_syntactic_dist,l2v_inventory_dist,l2v_phonological_dist,l2v_featural_dist,asjp_dist,phoible,grambank,glot_tree,scripts,concepts,qwals
Portuguese,22,23,22,21,88,port1283,port1283,stan1293,0.5261,0.1864,0.0512,0.9359,0.5368,0.6902,0.3277,0.4235,0.153018482995216,0.5008684592194137,19.307278,0.9,0.1,0.47,0.4235,0.5687,0.5,0.4789226966210405,0.7166666666666667,0.4819992036541474,0.8541666666666667,0.6666666666666667,0.0799999999999999,0.16088434628077916
Punjabi,22,23,23,22,89,panj1256,panj1256,stan1293,0.6057,0.5392,0.2534,0.9131,0.6784,0.7244,0.2617,0.4336,0.1940519345442608,0.325111145902885,18.090515,0.9,0.3,0.65,0.4336,0.5687,0.6,0.4693505336431457,0.76,0.5642764926868786,0.8257575757575757,1.0,0.05,0.30108223539410217
Pushtu,26,26,20,24,95,pash1269,pash1269,stan1293,,,,,,,,,,,,,,,,,,,0.7017543859649122,-1.0,0.75,1.0,-1.0,-1.0
Romanian,22,24,23,23,92,roma1327,roma1327,stan1293,0.5476,0.1864,0.0797,0.9248,0.5772,0.6104,0.2677,0.4997,0.1525710342276314,0.2879765684844349,18.942312,0.9,0.1,0.53,0.4997,0.3498,0.5,0.4650958807612378,0.5510204081632653,-1.0,0.8257575757575757,0.6666666666666667,0.06,0.17042606755306847
Russian,22,23,22,21,87,russ1263,russ1263,stan1293,0.5951,0.3918,0.1849,0.8934,0.6046,0.6596,0.3277,0.5594,0.1819790204985099,0.269571529203966,18.162127,0.9,0.2,0.49,0.5594,0.2804,0.5,0.4594418078809715,0.7619047619047619,0.5351935732088158,0.75,1.0,0.0799999999999999,0.1935602482533295
Serbian,21,23,23,22,90,serb1264,serb1264,stan1293,0.5804,0.1864,0.079,0.9196,0.6067,0.6774,0.2677,0.5093,0.1747549275139525,0.2843988161161612,23.965153,0.9,0.1,0.62,0.5983,0.8632,0.8,,0.8253968253968254,-1.0,0.8257575757575757,0.75,0.0999999999999999,-1.0
Shona,20,22,23,22,88,shon1251,shon1251,stan1293,0.6818,0.1864,0.3141,1.0,0.7363,0.7689,0.5456,0.5348,0.2229594558385459,0.4800583461086357,20.212133,1.0,0.4,0.75,0.5348,0.5687,0.6,0.4981004979746306,0.6984126984126984,0.5969782062382213,1.0,0.6666666666666667,0.1099999999999999,0.3014492781265922
Sindhi,22,23,24,23,93,sind1272,sind1272,stan1293,0.6125,0.5804,0.2493,0.9131,0.6767,0.6983,0.3141,0.494,0.190200264616714,0.3236699769895726,18.214127,0.9,0.3,0.57,0.494,0.4054,0.6,,0.7083333333333333,-1.0,0.8257575757575757,1.0,0.05,0.19920635223388672
Sinhalese,21,23,22,22,88,sinh1246,sinh1246,stan1293,0.6217,0.5765,0.3273,0.9047,0.7086,0.6465,0.2677,0.4991,0.1855960274872095,0.3971051831849777,19.592552,0.9,0.4,0.78,0.4991,0.4121,0.6,,0.6842105263157895,-1.0,0.7916666666666667,1.0,0.15,0.3067743664696103
Slovak,23,25,24,23,96,slov1269,slov1269,stan1293,0.6468,0.1864,0.0605,0.9047,0.6597,0.6736,0.5641,0.6054,0.2490687087276912,0.2851428547519665,22.891241,0.9,0.1,0.57,0.5983,0.5687,0.6,0.4875385947228225,0.6612903225806452,-1.0,0.7738095238095238,0.6666666666666667,0.06,0.3670635223388672
Slovenian,25,27,25,24,100,slov1268,slov1268,stan1293,0.5672,0.1864,0.0559,0.9047,0.6046,0.6722,0.2677,0.4546,0.1640647172559124,0.2899317234734175,18.864693,0.9,0.1,0.56,0.4546,0.5687,0.5,0.4618493152748424,0.5384615384615384,0.5124707431905383,0.7738095238095238,0.6666666666666667,0.0899999999999999,0.15440475940704346
Somali,17,19,20,17,73,soma1255,soma1255,stan1293,0.5981,0.1864,0.2629,1.0,0.6641,0.641,0.439,0.4645,0.1836521743507581,0.3731076881877014,21.263983,1.0,0.3,0.62,0.4645,0.4816,0.5,0.4938987487613815,0.6153846153846154,0.602283237388536,1.0,0.8,0.0999999999999999,0.333596167626319
Spanish,21,22,21,20,85,stan1288,stan1288,stan1293,0.556,0.1864,0.0575,0.9386,0.5536,0.6548,0.2677,0.5481,0.1600928424951809,0.3756929241839698,17.910675,0.9,0.1,0.4,0.5481,0.3433,0.5,0.4682382370940234,0.7254901960784313,-1.0,0.8452380952380953,0.6666666666666667,0.03,0.18594598450116664
Swahili,18,20,22,20,80,swah1253,swah1253,stan1293,0.6574,0.5574,0.294,1.0,0.7195,0.8056,0.3729,0.484,0.2025305719172497,0.4130596348791034,21.272171,1.0,0.4,0.71,0.484,0.2736,0.6,,-1.0,-1.0,-1.0,-1.0,-1.0,0.28337711446425495
Swedish,24,26,25,23,98,swed1254,swed1254,stan1293,0.5511,0.0,0.0557,0.7323,0.5136,0.7896,0.3141,0.5242,0.1669703985439954,0.2821042216898607,16.41591,0.7,0.1,0.42,0.5242,0.5687,0.5,0.3358438728964572,0.6296296296296297,0.4554632899703754,0.6111111111111112,0.6666666666666667,0.05,0.10649869866567115
Tagalog,20,22,23,22,87,taga1270,taga1270,stan1293,0.6208,0.4404,0.3864,1.0,0.6668,0.8116,0.3277,0.461,0.182789081215727,0.3837343072223909,20.621298,1.0,0.5,0.66,0.461,0.3433,0.5,0.4872355366382097,0.5111111111111111,0.5936168397046637,1.0,0.75,0.0699999999999999,0.34837094643958527
Tajik,15,18,19,18,70,taji1245,taji1245,stan1293,0.6909,0.4161,0.2123,0.9291,0.7579,0.7832,0.4467,0.5636,0.1944931576218375,0.3107341261530867,19.248623,0.9,0.3,0.68,0.5983,0.5687,0.8,0.4369297723336908,0.7407407407407407,-1.0,0.8333333333333334,1.0,0.0699999999999999,0.32587536643533144
Tamil,23,25,24,23,96,tami1289,tami1289,stan1293,0.6448,0.6215,0.3158,1.0,0.7386,0.6854,0.2677,0.5014,0.2017342922319911,0.3314706540194184,20.775375,1.0,0.4,0.71,0.5014,0.5687,0.6,0.4994335206036006,0.6774193548387097,0.5553896933170313,1.0,0.8,0.05,0.3893741916965794
Tatar,22,23,20,21,86,tata1255,tata1255,stan1293,0.6459,0.4161,0.1323,1.0,0.7165,0.684,0.1864,0.5371,0.1963530631249903,0.2976179912863677,21.352331,1.0,0.2,0.75,0.5983,0.805,0.8,,0.7424242424242424,0.5241424183609592,1.0,1.0,0.0899999999999999,0.3657596678960891
Telugu,26,26,18,21,91,telu1262,telu1262,stan1293,0.621,0.5354,0.2989,1.0,0.7072,0.7149,0.2677,0.4519,0.195954732314238,0.3403826265125687,18.909454,1.0,0.4,0.74,0.4519,0.3498,0.5,0.5009229335746546,0.6951219512195121,0.581675050747111,1.0,1.0,0.1999999999999999,0.3020032002375676
Thai,21,22,20,20,82,thai1261,thai1261,stan1293,0.5967,0.6502,0.3501,1.0,0.6522,0.7977,0.427,0.4147,0.1819064804357759,0.401293199502723,22.045734,1.0,0.5,0.56,0.4147,0.39,0.5,0.4770708308946029,0.6,0.5255382728122436,1.0,1.0,0.0799999999999999,0.27239010150615983
Tibetan,21,21,22,20,83,tibe1272,tibe1272,stan1293,0.7036,0.4359,0.2901,1.0,0.7822,0.8094,0.4601,0.5252,0.2247840285956055,0.3449160046604783,19.25976,1.0,0.4,0.78,0.5252,0.4477,0.6,,0.6440677966101696,0.6284902544988268,1.0,0.75,0.1999999999999999,0.30359062071769466
Tigrinya,19,22,22,20,83,tigr1271,tigr1271,stan1293,0.6229,0.5933,0.2148,1.0,0.6798,0.6764,0.409,0.5229,0.2001624494526054,0.3670113697716641,21.579094,1.0,0.3,0.72,0.5229,0.5687,0.6,0.4795169170717502,0.7529411764705882,-1.0,1.0,1.0,0.05,0.3876602833087628
Turkish,21,22,20,21,84,nucl1301,nucl1301,stan1293,0.6476,0.1864,0.1194,1.0,0.7119,0.7323,0.3277,0.5183,0.1981213235990488,0.3005941637086279,19.807714,1.0,0.1,0.7,0.5183,0.3433,0.6,0.4992803945936978,0.5892857142857143,0.5598507263734642,1.0,0.6666666666666667,0.1099999999999999,0.3166109812345436
Turkmen,17,19,20,19,76,turk1304,turk1304,stan1293,0.6576,0.4161,0.1941,1.0,0.7397,0.696,0.1864,0.517,0.1978524567131294,0.2956619937192472,19.70973,1.0,0.2,0.82,0.5983,0.805,0.9,0.5121357416021752,0.6666666666666667,0.5758044825624731,1.0,0.75,0.17,0.3855952262878418
Twi,19,20,22,21,82,twii1234,twii1234,stan1293,0.6677,0.1864,0.2039,0.9687,0.7406,0.7837,0.5096,0.4969,0.2083136335292551,0.3999441545628402,21.902376,1.0,0.3,0.75,0.5983,0.5687,0.8,,-1.0,-1.0,1.0,0.6666666666666667,0.13,-1.0
Uighur,22,23,21,20,86,uigh1240,uigh1240,stan1293,0.6973,0.4161,0.2253,1.0,0.779,0.7086,0.4407,0.576,0.2038496521448625,0.3556752911952656,20.49651,1.0,0.3,0.75,0.5983,0.8886,0.8,0.4808793629638822,0.6166666666666667,-1.0,1.0,0.8,0.06,0.4025411972632775
Ukrainian,20,22,22,20,85,ukra1253,ukra1253,stan1293,0.5559,0.3918,0.0762,0.9047,0.5803,0.6774,0.2677,0.4661,0.1512014288437571,0.2855467052225985,19.646692,0.9,0.1,0.51,0.4661,0.5687,0.5,0.4776210180764744,0.6730769230769231,0.4633457300296649,0.7738095238095238,0.75,0.0899999999999999,0.1875
Urdu,23,24,23,23,92,urdu1245,urdu1245,stan1293,0.6267,0.4973,0.2475,0.9196,0.6938,0.6962,0.4601,0.4923,0.1805471922233197,0.3065798264027521,19.911064,0.9,0.3,0.67,0.4923,0.5687,0.6,0.4709472548558304,0.7236842105263157,-1.0,0.8333333333333334,0.75,0.05,0.25252524289217865
Uzbek,24,24,12,22,82,uzbe1247,uzbe1247,stan1293,0.6679,0.3649,0.2081,1.0,0.7579,0.6969,0.3548,0.5491,0.211596989881741,0.30792316535256,21.890766,1.0,1.0,0.57,0.5983,0.5687,0.6,,-1.0,-1.0,-1.0,-1.0,-1.0,0.3642748746004972
Vietnamese,22,20,12,20,75,viet1252,viet1252,stan1293,0.6432,0.3881,0.3502,1.0,0.6943,0.9078,0.439,0.4769,0.2005828674011535,0.3916026141110484,20.579374,1.0,0.5,0.57,0.455,0.427,0.5,0.5007224634040737,0.7049180327868853,0.5445656288620602,1.0,0.6666666666666667,0.0799999999999999,0.2770017553258825
Wolof,14,16,18,16,64,nucl1347,nucl1347,stan1293,0.5674,0.4161,0.1752,1.0,0.5822,0.7323,0.3141,0.4731,0.1716685860689276,0.399984560518475,20.881353,1.0,0.2,0.49,0.4731,0.3498,0.5,,0.6379310344827587,0.5916079783099616,1.0,0.6666666666666667,0.0699999999999999,0.2935665339639742
Yoruba,20,21,21,21,82,yoru1245,yoru1245,stan1293,0.6545,0.4161,0.2026,1.0,0.6745,0.9496,0.5587,0.5093,0.1900481205397087,0.3850013678340016,19.981842,1.0,0.3,0.61,0.5093,0.5348,0.6,0.4982241148998836,0.6346153846153846,-1.0,1.0,0.6666666666666667,0.03,0.2600108059969815
