dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
stex,stex_00016,Afrikaans,afri1274,Dutch,dutc1256,491,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00017,Afrikaans,afri1274,Dutch,dutc1256,527,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00018,Afrikaans,afri1274,Dutch,dutc1256,494,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00019,Afrikaans,afri1274,Dutch,dutc1256,531,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00020,Afrikaans,afri1274,Dutch,dutc1256,598,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00021,Afrikaans,afri1274,Dutch,dutc1256,495,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00022,Afrikaans,afri1274,Dutch,dutc1256,465,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00023,Afrikaans,afri1274,Dutch,dutc1256,526,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00024,Afrikaans,afri1274,Dutch,dutc1256,463,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00025,Afrikaans,afri1274,Dutch,dutc1256,552,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
