"L1","C","L1L2","L2","AaA","LoR","Edu.day","Sex","Family","ISO639.3","Enroll","Speaking","morph","lex","new_feat","new_sounds"
"Polish","Poland","PolishRussian","Russian",22,4,3,"Female","Indo-European","pol ",100,552,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",27,5,4,"Female","Indo-European","pol ",100,504,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,2,4,"Female","Indo-European","pol ",100,505,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",25,2,4,"Female","Indo-European","pol ",100,549,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,16,3,"Female","Indo-European","pol ",100,573,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,4,"Female","Indo-European","pol ",100,539,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,7,4,"Female","Indo-European","pol ",100,538,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,4,4,"Female","Indo-European","pol ",100,575,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,2,3,"Female","Indo-European","pol ",100,556,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,5,4,"Female","Indo-European","pol ",100,542,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,4,"Female","Indo-European","pol ",100,507,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,1,4,"Female","Indo-European","pol ",100,551,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",33,1,3,"Female","Indo-European","pol ",100,494,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,2,4,"Female","Indo-European","pol ",100,534,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,4,3,"Female","Indo-European","pol ",100,515,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,3,4,"Male","Indo-European","pol ",100,543,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",19,1,3,"Female","Indo-European","pol ",100,528,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",19,3,3,"Female","Indo-European","pol ",100,525,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,2,4,"Female","Indo-European","pol ",100,433,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",15,6,1,"Female","Indo-European","pol ",100,556,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,1,4,"Female","Indo-European","pol ",100,556,0.0479,0.388004,14,25
